maven/mavencentral/org.bouncycastle/bcpkix-jdk15on/1.64, MIT AND LicenseRef-Public-Domain, approved, CQ21035
maven/mavencentral/org.bouncycastle/bcpkix-jdk15on/1.65, MIT AND LicenseRef-Public-Domain, approved, CQ21976
maven/mavencentral/org.bouncycastle/bcprov-jdk15on/1.64, MIT AND LicenseRef-Public-Domain, approved, CQ21033
maven/mavencentral/org.bouncycastle/bcprov-jdk15on/1.65, MIT AND LicenseRef-Public-Domain, approved, CQ21977
maven/mavencentral/org.dom4j/dom4j/2.1.1, LicenseRef-Dom4j, approved, CQ21947
maven/mavencentral/org.eclipse.californium/californium-core/2.0.0-M12, , approved, science.californium
maven/mavencentral/org.eclipse.californium/element-connector/2.0.0-M12, , approved, science.californium
maven/mavencentral/org.fusesource.hawtbuf/hawtbuf/1.11, Apache-2.0, approved, CQ13101
maven/mavencentral/org.hibernate.common/hibernate-commons-annotations/5.0.4.Final, LGPL-2.1-or-later, approved, CQ21922
maven/mavencentral/org.hibernate.validator/hibernate-validator/6.0.16.Final, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ20221
maven/mavencentral/org.hibernate/hibernate-core/5.3.10.Final, LGPL-2.1, restricted, clearlydefined
maven/mavencentral/org.javassist/javassist/3.23.2-GA, MPL-1.1 OR LGPL-2.1-or-later OR Apache-2.0, approved, CQ20347
maven/mavencentral/org.jboss.logging/jboss-logging/3.3.2.Final, Apache-2.0, approved, CQ13843
maven/mavencentral/org.jboss/jandex/2.0.5.Final, Apache-2.0, approved, CQ18763
maven/mavencentral/org.jetbrains/annotations/18.0.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mapstruct/mapstruct/1.2.0.Final, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.quartz-scheduler/quartz/2.3.1, Apache-2.0, approved, CQ22979
maven/mavencentral/org.reactivestreams/reactive-streams/1.0.2, CC0-1.0, approved, CQ16332
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.26, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.26, MIT, approved, CQ13368
maven/mavencentral/org.springframework.amqp/spring-amqp/2.1.6.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.amqp/spring-rabbit/2.1.6.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.1.5.RELEASE, Apache-2.0, approved, CQ18143
maven/mavencentral/org.springframework.boot/spring-boot-configuration-processor/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-activemq/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-amqp/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-aop/2.1.5.RELEASE, Apache-2.0, approved, CQ18198
maven/mavencentral/org.springframework.boot/spring-boot-starter-data-jpa/2.1.5.RELEASE, Apache-2.0, approved, CQ18200
maven/mavencentral/org.springframework.boot/spring-boot-starter-integration/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-jdbc/2.1.5.RELEASE, Apache-2.0, approved, CQ18205
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-log4j2/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-quartz/2.1.5.RELEASE, Apache-2.0, approved, clearlydefined
